"colBoth.protein"	"colBoth.count"
"966"	"B4258"	4
"967"	"B4259"	7
"968"	"B4266"	2
"969"	"B4268"	6
"970"	"B4288"	5
"971"	"B4290"	2
"972"	"B4291"	3
"973"	"B4292"	2
"974"	"B4313"	2
"975"	"B4314"	3
"976"	"B4315"	2
"977"	"B4316"	10
"978"	"B4317"	9
"979"	"B4318"	2
"980"	"B4319"	2
"981"	"B4322"	3
"982"	"B4323"	4
"983"	"B4349"	2
"984"	"B4361"	2
"985"	"B4372"	5
"986"	"B4382"	3
"987"	"B4383"	3
"988"	"B4398"	19
"989"	"B4399"	17
